# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.max,1758695311046000000,1758695351100000000,5
FilePageCache.maxRegisteredFiles,1758695311046000000,1758695351100000000,529
FilePageCacheLockFree.totalHeapBytesAllocated,1758695311046000000,1758695351100000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1758695311046000000,1758695351100000000,0
FilePageCache.uncachedFileAccess,1758695311046000000,1758695351100000000,328
FilePageCacheLockFree.totalNativeBytesAllocated,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesRequested,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesHandedOver,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesReclaimed,1758695311046000000,1758695351100000000,0
StorageLockContext.competingThreads.avg,1758695311046000000,1758695351100000000,0.09859154929577464
FilePageCacheLockFree.totalClosedStoragesReclaimed,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesAllocated,1758695311046000000,1758695351100000000,0
FilePageCache.pageLoads,1758695311046000000,1758695351100000000,193
FilePageCacheLockFree.housekeeperTimeSpentMs,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1758695311046000000,1758695351100000000,0
MappedFileStorage.totalBytesMapped,1758695311046000000,1758695351100000000,0
FilePageCache.pageFastCacheHits,1758695311046000000,1758695351100000000,13391
DirectByteBufferAllocator.disposed,1758695311046000000,1758695351100000000,150
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758695311046000000,1758695351100000000,41943040
FilePageCacheLockFree.nativeBytesInUse,1758695311046000000,1758695351100000000,0
StorageLockContext.competingThreads.90P,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalBytesWritten,1758695311046000000,1758695351100000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1758695311046000000,1758695351100000000,0
FilePageCacheLockFree.totalPagesWritten,1758695311046000000,1758695351100000000,0
DirectByteBufferAllocator.misses,1758695311046000000,1758695351100000000,190
DirectByteBufferAllocator.hits,1758695311046000000,1758695351100000000,3
FilePageCache.totalPageLoadsUs,1758695311046000000,1758695351100000000,318085
VFS.fileChildByName,1758695311046000000,1758695351100000000,13
VFS.fileByIdCache.hits,1758695311046000000,1758695351100000000,0
VFS.fileByIdCache.misses,1758695311046000000,1758695351100000000,0
VFS.invertedFileNameIndex.requests,1758695311046000000,1758695351100000000,0
AWTEventQueue.dispatchTimeMaxNs,1758695311046000000,1758695351100000000,32749125631
AWTEventQueue.eventsDispatched,1758695311046000000,1758695351100000000,1410
FlushQueue.queueSize90P,1758695311046000000,1758695351100000000,433
WriteAction.executionsCount,1758695311046000000,1758695351100000000,1
FlushQueue.waitingTimeMaxNs,1758695311046000000,1758695351100000000,27917287423
FlushQueue.executionTimeMaxNs,1758695311046000000,1758695351100000000,32749125631
FlushQueue.tasksExecuted,1758695311046000000,1758695351100000000,534
AWTEventQueue.dispatchTimeAvgNs,1758695311046000000,1758695351100000000,2.4045036232624114E7
ReadAction.executionsCount,1758695311046000000,1758695351100000000,45775
FlushQueue.waitingTime90PNs,1758695311046000000,1758695351100000000,18656264191
NonBlockingReadAction.failedExecutionTimeUs,1758695311046000000,1758695351100000000,0
FlushQueue.queueSizeAvg,1758695311046000000,1758695351100000000,240.8558052434457
FlushQueue.executionTime90PNs,1758695311046000000,1758695351100000000,1925119
AWTEventQueue.dispatchTimeTotalNS,1758695311046000000,1758695351100000000,33896817436
NonBlockingReadAction.finalizedExecutionTimeUs,1758695311046000000,1758695351100000000,261149
NonBlockingReadAction.failedExecutionsCount,1758695311046000000,1758695351100000000,0
FlushQueue.waitingTimeAvgNs,1758695311046000000,1758695351100000000,8.813490419595505E9
FlushQueue.executionTimeAvgNs,1758695311046000000,1758695351100000000,6.2976206284644194E7
AWTEventQueue.dispatchTime90PNs,1758695311046000000,1758695351100000000,518143
FlushQueue.queueSizeMax,1758695311046000000,1758695351100000000,481
NonBlockingReadAction.finalizedExecutionsCount,1758695311046000000,1758695351100000000,17
