# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.libraries.ms,1758695649144000000,1758695688179000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758695649144000000,1758695688179000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1758695649144000000,1758695688179000000,2
workspaceModel.do.save.caches.ms,1758695649144000000,1758695688179000000,0
workspaceModel.load.cache.metadata.from.file.ms,1758695649144000000,1758695688179000000,0
jps.global.initialize.library.bridges.ms,1758695649144000000,1758695688179000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1758695649144000000,1758695688179000000,0
VFS.invertedFileNameIndex.requests,1758695649144000000,1758695688179000000,0
VFS.fileChildByName,1758695649144000000,1758695688179000000,13
VFS.fileByIdCache.hits,1758695649144000000,1758695688179000000,0
VFS.fileByIdCache.misses,1758695649144000000,1758695688179000000,0
FlushQueue.waitingTime90PNs,1758695649144000000,1758695688179000000,18522046463
FlushQueue.queueSizeAvg,1758695649144000000,1758695688179000000,242.83834586466165
WriteAction.executionsCount,1758695649144000000,1758695688179000000,1
FlushQueue.tasksExecuted,1758695649144000000,1758695688179000000,532
AWTEventQueue.dispatchTimeMaxNs,1758695649144000000,1758695688179000000,31809601535
FlushQueue.executionTimeMaxNs,1758695649144000000,1758695688179000000,31809601535
NonBlockingReadAction.finalizedExecutionTimeUs,1758695649144000000,1758695688179000000,180804
NonBlockingReadAction.failedExecutionTimeUs,1758695649144000000,1758695688179000000,0
AWTEventQueue.dispatchTime90PNs,1758695649144000000,1758695688179000000,491519
FlushQueue.queueSizeMax,1758695649144000000,1758695688179000000,485
NonBlockingReadAction.finalizedExecutionsCount,1758695649144000000,1758695688179000000,17
FlushQueue.executionTime90PNs,1758695649144000000,1758695688179000000,1368063
NonBlockingReadAction.failedExecutionsCount,1758695649144000000,1758695688179000000,0
FlushQueue.queueSize90P,1758695649144000000,1758695688179000000,445
FlushQueue.executionTimeAvgNs,1758695649144000000,1758695688179000000,6.1393222778195485E7
AWTEventQueue.dispatchTimeAvgNs,1758695649144000000,1758695688179000000,2.4311195482352942E7
FlushQueue.waitingTimeAvgNs,1758695649144000000,1758695688179000000,9.624154307308271E9
AWTEventQueue.eventsDispatched,1758695649144000000,1758695688179000000,1360
ReadAction.executionsCount,1758695649144000000,1758695688179000000,45775
AWTEventQueue.dispatchTimeTotalNS,1758695649144000000,1758695688179000000,33109045637
FlushQueue.waitingTimeMaxNs,1758695649144000000,1758695688179000000,28454158335
